,start,end,gap_minutes
4,2025-06-07 00:38:57+07:00,2025-06-07 01:08:59+07:00,30.033333333333335
0,2025-06-07 01:18:07+07:00,2025-06-07 07:00:00+07:00,341.8833333333333
5,2025-06-07 07:00:00+07:00,2025-06-07 08:35:36+07:00,95.6
8,2025-06-07 08:59:19+07:00,2025-06-07 14:07:45+07:00,308.43333333333334
