source,device,device_reported,bug_type,timestamp_local,incident_id,os_version
bug_type_210_2025-06-07.docx,iPhone12 mini-1,"iPhone16,1",210,,,18.5 (22F76)
bug_type_225_2025-06-07.docx,iPhone12 mini-1,iPhone12 mini-1,,,,
